MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
36	12-Jun	50	0-4	0	5-May	100	8	7	1	0	2	3	17
35	21-Nov	52.4	7-Mar	42.9	0-1	0	3	5	2	3	2	2	25
37	23-Oct	43.5	7-Feb	28.6	9-Aug	88.9	9	4	0	1	2	1	30
37	13-Apr	30.8	4-Jan	25	6-Apr	66.7	10	10	0	0	1	3	13
37	20-Sep	45	7-Feb	28.6	3-Feb	66.7	8	7	0	0	1	2	22
35	17-Aug	47.1	9-Mar	33.3	2-Jan	50	5	4	0	0	3	5	20
23	10-Jun	60	5-Feb	40	2-Feb	100	1	2	1	0	2	2	16
25	8-Jun	75	6-Apr	66.7	0-0	0	2	4	0	1	2	1	16
29	9-Apr	44.4	5-Feb	40	6-Jun	100	4	7	2	1	1	1	16
46	21-Sep	42.9	10-May	50	6-May	83.3	7	2	1	1	3	3	28
36	10-Apr	40	5-Jan	20	2-Feb	100	4	12	0	1	5	1	11
34	12-May	41.7	8-Feb	25	4-Apr	100	3	2	0	0	1	1	16
40	20-Sep	45	6-Feb	33.3	6-May	83.3	6	5	0	3	2	2	25
